nama_provinsi,desa_kelurahan,ketersediaan_tempat_pembuangan_sampah,tahun
JAWA BARAT,CIKAKAK,ADA,2019.0
JAWA BARAT,CIMAJA,ADA,2019.0
JAWA BARAT,RIDOGALIH,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAJU,TIDAK ADA,2019.0
JAWA BARAT,CILEUNGSING,TIDAK ADA,2019.0
JAWA BARAT,MARGALAKSANA,TIDAK ADA,2019.0
JAWA BARAT,SIRNARASA,TIDAK ADA,2019.0
JAWA BARAT,GANDASOLI,ADA,2019.0
JAWA BARAT,CIRENDANG,TIDAK ADA,2019.0
JAWA BARAT,BANTARGADUNG,ADA,2019.0
JAWA BARAT,MANGUNJAYA,TIDAK ADA,2019.0
JAWA BARAT,BOJONGGALING,TIDAK ADA,2019.0
JAWA BARAT,LIMUSNUNGGAL,TIDAK ADA,2019.0
JAWA BARAT,BANTARGEBANG,TIDAK ADA,2019.0
JAWA BARAT,BUANAJAYA,TIDAK ADA,2019.0
JAWA BARAT,BOYONG SARI,ADA,2019.0
JAWA BARAT,CISOLOK,ADA,2019.0
JAWA BARAT,PASIR BARU,ADA,2019.0
JAWA BARAT,CIKAHURIPAN,ADA,2019.0
JAWA BARAT,CIKELAT,ADA,2019.0
JAWA BARAT,CARINGIN,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGKARAMAT,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGTANJUNG,TIDAK ADA,2019.0
JAWA BARAT,KARANGPAPAK,ADA,2019.0
JAWA BARAT,SIRNARESMI,TIDAK ADA,2019.0
JAWA BARAT,CICADAS,TIDAK ADA,2019.0
JAWA BARAT,WANAJAYA,TIDAK ADA,2019.0
JAWA BARAT,WANGUNSARI,ADA,2019.0
JAWA BARAT,SUKARAME,ADA,2019.0
JAWA BARAT,CIKIDANG,TIDAK ADA,2019.0
JAWA BARAT,CIKIRAY,ADA,2019.0
JAWA BARAT,GUNUNGMALANG,ADA,2019.0
